程序:	1 13.11.2016 01:05:16
板格式:	96 孔

吸光率     滤镜1: 450纳米

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.069	0.065	0.275	0.159	0.211	0.246	0.235	0.571	0.256	0.243	0.377	0.264
B	1.118	1.145	0.185	0.229	0.240	0.255	0.231	0.336	0.256	0.333	0.358	0.247
C	1.051	1.028	0.179	0.229	0.224	0.280	0.248	0.331	0.258	0.561	0.361	0.342
D	0.743	0.770	0.200	0.240	0.195	0.261	0.368	0.350	0.235	0.370	0.373	0.392
E	0.248	0.249	0.192	0.214	0.208	0.255	0.584	0.786	0.262	0.397	0.419	0.376
F	0.100	0.093	0.199	0.227	0.260	0.287	0.606	0.477	0.259	0.327	0.364	0.414
G	0.074	0.077	0.185	0.231	0.452	0.264	0.615	0.482	0.280	0.350	0.373	0.413
H	0.536	0.551	0.196	0.257	0.257	0.232	0.567	0.503	0.240	0.395	0.423	0.383

