程序:	1 02.03.2017 22:02:16
板格式:	96 孔

吸光率     滤镜1: 450纳米

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.574	0.587	0.133	0.126	0.159	0.135	0.142	0.132	0.138	0.139	0.144	0.109
B	0.278	0.317	0.135	0.137	0.140	0.126	0.154	0.120	0.121	0.147	0.142	0.107
C	0.181	0.175	0.139	0.108	0.058	0.139	0.137	0.137	0.113	0.122	0.145	0.113
D	0.107	0.109	0.133	0.116	0.125	0.133	0.110	0.140	0.109	0.142	0.130	0.103
E	0.091	0.081	0.125	0.099	0.114	0.119	0.127	0.113	0.119	0.140	0.121	0.087
F	0.065	0.065	0.124	0.129	0.121	0.122	0.117	0.123	0.140	0.113	0.108	0.103
G	0.108	0.118	0.117	0.133	0.123	0.114	0.118	0.132	0.114	0.139	0.129	0.108
H	0.120	0.117	0.122	0.144	0.127	0.113	0.121	0.127	0.104	0.113	0.122	0.096

